Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @spearbewbz: here's what's happening now in the ph:

the president prioritizes a lot of issues but the pandemic. we've been in lockdown…",2021-05-11 14:56:25,1392131487084941312,suhhvsco,,リミテッド,False,1425,0,en,lockdown
,"RT @spearbewbz: here's what's happening now in the ph:

the president prioritizes a lot of issues but the pandemic. we've been in lockdown…",2021-05-11 14:56:25,1392131485067530243,Y00NIISM,,SHE!THEY ☼ 18 (cbyf),False,1425,0,en,lockdown
,"RT @Oloyedey4u: RETWEET and Drop ur Twitter account handle... Lets work magic ✨ ❤️ 

#lockdown",2021-05-11 14:56:25,1392131484870451203,Paparazzy_PR,,"Lagos, Nigeria",False,151,0,en,lockdown
,"RT @DrAmarMOH: I wish those who live in the lap of luxury &amp; have no financial difficulties can stop telling the poor to stay at home.
When…",2021-05-11 14:56:23,1392131479761690627,MasrinoW,,,False,557,0,en,lockdown
,"@bigbasket_com I'm from Kolkata, W.B. and here it's only partial lockdown with no barrier in transport for foods an… https://t.co/RfU824CP3J",2021-05-11 14:56:22,1392131474296512515,ImSuvi03,,"City of joy(Kolkata), India",True,0,0,en,lockdown
,From my front window I still see construction workers and office goers in groups of 10-15 everyday. So much for the… https://t.co/9IFTqmqK2B,2021-05-11 14:56:22,1392131473306574849,rohitbarker,,Bangalore,True,0,0,en,lockdown
,i think im gonna have a lockdown on nct dream until bts’ comeback then stay focused on bts until txt’s comeback and… https://t.co/uOQyoinlGC,2021-05-11 14:56:22,1392131473084493829,sungjinsvocals,,she/her 20 | day6 + txt ,False,0,0,en,lockdown
,"RT @SkyeZlatan: @avidgamefan @EthicalSkeptic In every country/region, the shutdown came first and only then the problems started.

I give y…",2021-05-11 14:56:21,1392131470387343360,MidlifeCredo,,United States,False,39,0,en,lockdown
,"RT @HelpingHand_ktr: #Urgent 
Last year with our relief work, we provided ration close to 600+ . Bihar to completely lockdown since 5th to…",2021-05-11 14:56:21,1392131470118948866,Tahira40306523,,,False,109,0,en,lockdown
,"RT @Call_Me_Daniels: Another case of a missing person 😭😭

Davido | Victor AD | Jowo | Oshodi | Wizkid | David Hundeyin | Photoshop |

SYMPL…",2021-05-11 14:56:21,1392131470001639429,ojemehprogrex,,"Delta, Nigeria",False,129,0,en,lockdown
,"RT @bahardutt: As the city is in lockdown frenetic activity continues at #CentralVistaProject the iconic Boat Club water removed , sand dum…",2021-05-11 14:56:21,1392131468898357250,Visuvam,,"Tamilnadu, India",True,6,0,en,lockdown
,Worst situation right now many people of losing their loved ones due to Corona. lockdown must needed these times bu… https://t.co/vjw6lAXO9L,2021-05-11 14:56:21,1392131468038610948,vella100prakash,,,False,0,0,en,lockdown
,144 Mini Black Ballpoint Pens Jotter Golf Bridge Crosswords Bookies School https://t.co/dJGyErBlKg via @eBay… https://t.co/doR1P6xqiV,2021-05-11 14:56:21,1392131467724079109,DirectMorgan,,London,False,0,0,en,lockdown
,"RT @spearbewbz: here's what's happening now in the ph:

the president prioritizes a lot of issues but the pandemic. we've been in lockdown…",2021-05-11 14:56:20,1392131466302304256,hyunisbf,,He They 🧩🌐🩹,False,1425,0,en,lockdown
,RT @_Garrett9: #AGTG Blessed to be named ALL Conference and receive the Lockdown Award for Corinth Holders @CoachT_Howard @Corinthfootball…,2021-05-11 14:56:20,1392131465694035973,langstonr23,,,True,2,0,en,lockdown
,"@CarolineLucas @keirstarmer If he felt ""bitter"" and ""miserable"" about having to declare lockdown to save tens of th… https://t.co/kCKNpU9THR",2021-05-11 14:56:20,1392131464473497603,cfinnecy,,"Chelmsford, Essex, UK",True,0,0,en,lockdown
,@ellashiii0 @avoidyesa @yvette_ax walang lockdown lockdown,2021-05-11 14:56:19,1392131461814177797,potqtokiks,,secret walang clue,True,0,0,en,lockdown
,"RT @VINOTHK81952296: @RRB_India @DgpKarnataka Madam ,If Banks not required to open during the lockdown ,Pls close the Banks .We also don't…",2021-05-11 14:56:19,1392131461625651206,bhayrenitin,,"Santrampur, India",False,10,0,en,lockdown
,"RT @shayla__love: I wrote about how some people are gonna need a minute before they're comfortable putting away masks, eating inside, being…",2021-05-11 14:56:19,1392131459981316098,LivioDeLaCruz,,"Seattle, WA",False,4,0,en,lockdown
,RT @KTRTRS: Telangana State Cabinet has decided to impose #lockdown for 10 days starting 10 am tomorrow. The lockdown will be relaxed from…,2021-05-11 14:56:18,1392131457754169345,HarshaSagar9,,"Chittoor, India",True,1329,0,en,lockdown
,"RT @RaihanShakib7: #GERMANEMBASSYBD
Overseas students &amp; the embassies both should get special priorities over lockdown. Please reopen the #…",2021-05-11 14:56:18,1392131455367585799,IShehrin,,,False,6,0,en,lockdown
,"RT @spearbewbz: here's what's happening now in the ph:

the president prioritizes a lot of issues but the pandemic. we've been in lockdown…",2021-05-11 14:56:17,1392131453937389569,bobafelix,,she bun,False,1425,0,en,lockdown
,Another Eid in lockdown,2021-05-11 14:56:16,1392131449965486085,LadnaM_,,"Kingston, Ontario",True,0,0,en,lockdown
,RT @iamdkingdom: Y'all KINGs👑 are just so good to be true. Thank you so much for the love. Please y'all shouldn't stop voting.. I don't wan…,2021-05-11 14:56:16,1392131449508204545,fifimonset,,Nigeria,False,5,0,en,lockdown
,RT @MRC_Outbreak: Our latest #COVID19 models suggest that the roadmap out of lockdown for England could lead to a smaller third wave in lat…,2021-05-11 14:56:16,1392131446588985347,The_MRC,,United Kingdom,True,8,0,en,lockdown
