Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"@Mclark1502 But we’d have vaccinated millions more by the time we did.

Race between vaccine and virus",2021-05-14 18:15:29,1393268747906002945,TomSwarbrick1,,Kent,True,0,0,en,vaccine
,"RT @left_sockpuppet: @MohanadElshieky For the people saying “well they’ll just pass it off to each other then.”
Not exactly. Immunocompromi…",2021-05-14 18:15:29,1393268747453046785,sugarboysean,,amigopstwt + jsetwt; minor,False,47,0,en,vaccine
,"RT @DaveKronig: Hi hello, it's me, your immunocompromised friend. I'm fully vaxxed but still gonna be wearing masks for a long time because…",2021-05-14 18:15:29,1393268746890973189,brwngrlkaren,,$20 dm fee 4 men 💗,False,17881,0,en,vaccine
,"NEW: Costco Pharmacy #1050 on 05-21
Total Appointments at Location: 94
Age Group: 18+

Address: 340 Lakewood Center… https://t.co/C9rKNCklJv",2021-05-14 18:15:29,1393268746823811072,FindMyVaxLA_Bot,,"Los Angeles County, CA",False,0,0,en,vaccine
,"@93Watkins @aubrey_huff I don't think they mean to talk to everyone like that.

It's just for the folks who haven't… https://t.co/RjF2LEoaYo",2021-05-14 18:15:29,1393268746626629633,Zackaroni1868,,,False,0,0,en,vaccine
,RT @AnitaCTHF: Look at Wales - something very positive happening there - what are they doing (different vaccine strategy?) that has made su…,2021-05-14 18:15:29,1393268744605077505,johnarro,,,True,1,0,en,vaccine
,@IntlCrimCourt Doctors found electromagnetic elements in the arms of people vaccinated with the Covid 19 vaccine. S… https://t.co/W38nwWIpHY,2021-05-14 18:15:28,1393268744084930569,AdamJanoj,,"Safed, Israel.",False,0,0,en,vaccine
,"RT @jairsmoya: gets vaccine            still wears a mask
                         🤝",2021-05-14 18:15:28,1393268741891317762,ohitsaglae,,,True,757,0,en,vaccine
,RT @LadiiLongLegs: Some ppl are just dead set on being stupid. “What if we don’t wanna get the vaccine or wear masks?” Then don’t do it! Ju…,2021-05-14 18:15:28,1393268741660725248,M2C_BoomQue,,Atlanta,False,2,0,en,vaccine
,@GidgitVonLaRue @sbrisentine I'm not fighting anything. All I did was explain how the vaccine works.,2021-05-14 18:15:28,1393268740939190272,king_of_bob,,Espanola Ontario,True,0,0,en,vaccine
,RT @DailyHiveVan: Here's what life could look like once Canadians are vaccinated against COVID-19 https://t.co/MqtO7JZCra #COVIDCanada http…,2021-05-14 18:15:28,1393268740259680256,Cole_Beast,,,False,1,0,en,vaccine
,"The vaccine is a modern day miracle, please help us get back to normal and avoid developing new strains faster than… https://t.co/ayz53RF98d",2021-05-14 18:15:27,1393268739899068418,Jon_D_,,"Charlotte, NC",True,0,0,en,vaccine
,"Painful 'Covid arm' after Moderna vaccine nine days ago. Burning, rash, swelling, aching, fatigue and pain.… https://t.co/0D9buhBD8Y",2021-05-14 18:15:27,1393268739378974722,KellyJa77460085,,,False,0,0,en,vaccine
,"RT @yoosufmufthi: I took the #COVID #vaccine at the local MOH clinic today, as per the recommendations of health authorities.
I encourage a…",2021-05-14 18:15:27,1393268739068416002,RegularReh,,,False,17,0,en,vaccine
,"RT @BJP4India: Strengthening cooperative federalism in the fight against COVID-19.

Modi govt to provide nearly 192 lakh of COVID vaccines…",2021-05-14 18:15:27,1393268737000706059,DharamjitBjp,,सिन्दरी धनबाद झारखंड ,False,216,0,en,vaccine
,The CVC at WaterMark Place in Bessemer now offers vaccine to those 12-15 years of age! A parent/legal guardian must… https://t.co/2hSXWXdXdg,2021-05-14 18:15:27,1393268736891752448,jcdhtweets,,"Jefferson County, AL",True,0,0,en,vaccine
,I guess this hinges on the key question right now - how long does vaccine effectiveness last? Does effectiveness we… https://t.co/jBF9oqRalH,2021-05-14 18:15:27,1393268736740794370,worldwidemitch,,Brampton 🇨🇦,True,0,0,en,vaccine
,@KasthuriShankar @IndianExpress Pls delete this tweet...there is no value in amplifying the one case (or even 20) o… https://t.co/27SODRwgaB,2021-05-14 18:15:27,1393268736740663299,JacksonDurai19,,,False,0,0,en,vaccine
,"RT @CromwellStuff: Flicked over from golf to Sly news only to be confronted by propaganda, queues of young people waiting for a vaccine to…",2021-05-14 18:15:27,1393268736203833345,NormalNormanIam,,,False,122,0,en,vaccine
,@Vealosp You’re deluded assertion that the flu vaccine is not a vaccine.,2021-05-14 18:15:27,1393268736170283010,mike_ne20,,Legacy fan,True,0,0,en,vaccine
,@Alichat66 @RupertaMargate @mrswendle @Notes2Melody This is no vaccine.,2021-05-14 18:15:26,1393268735646093316,Hollister68,"Place(_api=<tweepy.api.API object at 0x7faded7a34f0>, id='276336654aa4f87a', url='https://api.twitter.com/1.1/geo/id/276336654aa4f87a.json', place_type='city', name='Lafayette', full_name='Lafayette, LA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7faded7a34f0>, type='Polygon', coordinates=[[[-92.158649, 30.115967], [-91.963704, 30.115967], [-91.963704, 30.2961909], [-92.158649, 30.2961909]]]), attributes={})",Deep South,True,0,0,en,vaccine
,RT @slh78_w04: Can you get polio after getting the polio vaccine? No? Why is that? Because it's a vaccine and it works. So why are people s…,2021-05-14 18:15:26,1393268735645978626,BLUESFANMYR,,"BERTHIERVILLE,canada",False,489,0,en,vaccine
,"RT @rbnstyle: If you need a identification card to vote you need a Covid Vaccine Card to not wear a mask indoors, on a plane, mine a bar or…",2021-05-14 18:15:26,1393268735566360577,bonnet_kim,,,False,1,0,en,vaccine
,"@Mehitabel1234 @NickReisman You're right, of course, and that's why I got the vaccine....but I don't think that ans… https://t.co/cGGFaXVgei",2021-05-14 18:15:26,1393268735285383169,abmoser88,,"New Jersey, USA",False,0,0,en,vaccine
,"RT @Surabees: 1: THREAD

Want to stop the vaccine passport?

Take a page from the left &amp; start calling/tweeting America's biggest airlines,…",2021-05-14 18:15:26,1393268734559617024,shoshido,,,False,2121,0,en,vaccine
,RT @Bob2A1959NYC: The Yankees were vaccinated with J&amp;J yet still seven coaches and staff tested positive with Covid and one feeling the eff…,2021-05-14 18:15:26,1393268734429569032,Randi_RLB,,,False,3,0,en,vaccine
,Vaccine appointments no longer available at CVS - Saint Paul (as of 1:13).,2021-05-14 18:15:26,1393268734136098820,MspVaccinewatch,,Minneapolis,False,0,0,en,vaccine
,RT @Laurie_Garrett: A 40-page analysis of 100s of 1000s of false social media postings aimed at discouraging #COVID19 #vaccine uptake finds…,2021-05-14 18:15:26,1393268733804650496,wtoghkmsmr,,,False,433,0,en,vaccine
,Vaccine appointments no longer available at CVS - Medina (as of 1:13).,2021-05-14 18:15:26,1393268733297180675,MspVaccinewatch,,Minneapolis,False,0,0,en,vaccine
,RT @MonicaGandhi9: Wanted to explain my thoughts on Yankees cases (8 total; 7 out of 8 asymptomatic) two weeks after J&amp;J vaccine. Currently…,2021-05-14 18:15:26,1393268733154676739,Mistyrose78,,,False,31,0,en,vaccine
,Vaccine appointments no longer available at CVS - Maple Grove (as of 1:13).,2021-05-14 18:15:26,1393268732814823426,MspVaccinewatch,,Minneapolis,False,0,0,en,vaccine
,RT @Hughcevans: 'VAX LIVE' Helps Mobilize $302M and More Than 26M COVID-19 Vaccine Doses for World's Most Vulnerable #Vaxlive #Globalcitize…,2021-05-14 18:15:26,1393268732269633536,JoyfulMom2019,,,False,25,0,en,vaccine
,Vaccine appointments no longer available at CVS - Lino Lakes (as of 1:13).,2021-05-14 18:15:26,1393268732185690113,MspVaccinewatch,,Minneapolis,False,0,0,en,vaccine
