Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"@PresidentIRL 
Dear,
President Of Ireland Michael Higgins
Sub : Citizen Council for Human Rights (CCHR) did predict… https://t.co/wZwoE1bZSU",2021-05-12 18:10:38,1392542750483140610,humanrightscchr,,"Karachi, Sindh, Pakistan.",False,0,0,en,corona virus
,"RT @mikhail86439176: Doug Ford, the premiere of Ontario 🇨🇦 is telling what happens to politicians that go against ‘the corona virus narrati…",2021-05-12 18:10:32,1392542724935585792,SepLad,,The VaxiNation (U.K.),True,360,0,en,corona virus
,@Nitin511387851 @Israel dil to pagal hei dil to vanna hei..settel corona virus first..all people in india dead😵💩 https://t.co/tszHMfrf8t,2021-05-12 18:10:18,1392542664873037825,NURMAYIEANMIEAN,,malaysia,False,0,0,en,corona virus
,"RT @eugyppius1: 1. My new Corona semi-satirical conspiracy theory proposes this is a live self-propagating vaccine virus, intended to elici…",2021-05-12 18:10:08,1392542625740193793,TheCreditBubble,,,False,1,0,en,corona virus
,"RT @jawharsircar: Beware of a new bacteria called Bhakteria that’s sweeping India worse than corona virus. 
It inflames the mind n destroys…",2021-05-12 18:10:07,1392542622145675265,saurabh86238669,,,False,320,0,en,corona virus
,"RT @DrGPrakash: Covid19 is not a state of azithromycin and doxycycline deficiency. 🙏
Antibiotics CANNOT kill Corona virus. 🦠
🛑⛔🚫 Please sto…",2021-05-12 18:09:56,1392542572485103618,Mahalak21133901,,,False,15,0,en,corona virus
,RT @profmakehappy: The world after the corona virus.... https://t.co/rBnv50zT8y,2021-05-12 18:09:54,1392542564226670594,WayneNtress,,"Bremen, Deutschland",False,34480,0,en,corona virus
,@drharshvardhan the Canadian company SANOTIZE wants to start using Nio2 spray to eliminate the Corona Virus. A harm… https://t.co/xm5ZdOtkFc,2021-05-12 18:09:49,1392542546337796106,sandeepnewdelhi,,"New Delhi, India",True,0,0,en,corona virus
,"RT @Faizzism: One of friends father is suffering from Covid.

RT to amplify. 
@varungrover
@HaramiParindey
@SahilBulla

https://t.co/WbwyZU…",2021-05-12 18:09:26,1392542449059258368,Faizzism,,,False,5,0,en,corona virus
,"@simoncoveney 
Dear,
Foreign Minister Ireland
Simon Coveney
Sub : Citizen Council for Human Rights (CCHR) did predi… https://t.co/ZiWgZ4iaTn",2021-05-12 18:09:26,1392542448556167170,humanrightscchr,,"Karachi, Sindh, Pakistan.",False,0,0,en,corona virus
