Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @brightwinlouvre: corona virus works hard, but both you work harder to makes us happy. 🥺 https://t.co/bXkYKsmK70",2021-05-15 18:55:03,1393641090205507587,bbw2_,,ᙏ̤̫,False,56,0,en,corona virus
,RT @amaanbali: RSS workers are not just distributing nitrogen cylinders to patients they are also working hard on Subaltern Hindutva resear…,2021-05-15 18:54:53,1393641050833489923,PalvaiShanthan,,India,False,321,0,en,corona virus
,"RT @tariqahmadwzr: Religious extremism is more contagious than corona virus.
It should be abolished .
#StateMustStopExtremists",2021-05-15 18:54:36,1393640978762903560,ikramk998,,"Peshawar, Pakistan",False,3,0,en,corona virus
,RT @amaanbali: RSS workers are not just distributing nitrogen cylinders to patients they are also working hard on Subaltern Hindutva resear…,2021-05-15 18:54:35,1393640974669123590,MadMax62309410,,,False,321,0,en,corona virus
,RT @octivist: @coolfunnytshirt Rare pic of Secular virus with corona virus.... https://t.co/jJXJJoFruY,2021-05-15 18:54:05,1393640846893797382,Kesari_Nibba,,Hindu Rashtra,False,27,0,en,corona virus
,"RT @ibeingvshetty: ""Corona-virus has a right to live just like humans"" - BJP Leader.

Almost all BJP leaders are illiterate morons. Followi…",2021-05-15 18:53:59,1393640825259655168,Krishna10292273,,,False,7,0,en,corona virus
,"RT @txtouryouth: Please use the following link to donate to the fundraiser by Nepali students around the world
: https://t.co/aT0mZm7vLD

P…",2021-05-15 18:53:43,1393640755550322691,andhowcouldyou,,they them,False,51,0,en,corona virus
,RT @NakuulMehta: Our first poem in the #PoemsForHumanity series is dedicated to the front line warriors in the battle with corona virus. Ou…,2021-05-15 18:53:37,1393640732037054466,iiamrohit,,,False,558,0,en,corona virus
,I already had the corona virus and that shit weak https://t.co/iOW4lROeBt,2021-05-15 18:53:34,1393640719986925573,zachbeaird14,,Out by the mf grave yard ,True,0,0,en,corona virus
,"@SeanStacey18 @Body_Naturelle @LadygodivaLDN @SeanStacey18 who told you that... The type of virus is corona, there… https://t.co/TKWFyHs7dN",2021-05-15 18:53:25,1393640681906733057,bareitnz,,"Bay of Plenty Region, NZ",False,0,0,en,corona virus
,"RT @VincentRK: Pan Corona Virus vaccine thread

What you missed from the WH briefing yesterday: Dr. Fauci's comments. @ASlavitt 

1/ We are…",2021-05-15 18:53:07,1393640604244971524,jenwmac,,"Seattle, WA",False,87,0,en,corona virus
,RT @MDJawedHassanA1: See the enriched strains of Corona virus in india. https://t.co/4ydNOoIR7s,2021-05-15 18:52:56,1393640559932186624,KSuresh07443195,,,False,2,0,en,corona virus
,RT @LawrenceSellin: There is massive infiltration of U.S. virus research programs by the Chinese Communist Party and the People's Liberatio…,2021-05-15 18:52:47,1393640521281716224,yH4OSKrkVWFBbed,,,False,1177,0,en,corona virus
,"RT @ibeingvshetty: ""Corona-virus has a right to live just like humans"" - BJP Leader.

Almost all BJP leaders are illiterate morons. Followi…",2021-05-15 18:52:23,1393640421633380353,Salmansbrigade,,સિંહ ના કોઈ ઠેકાણા ના હોય ,False,7,0,en,corona virus
,"@timesofindia @republic @BeingSalmanKhan @RandeepHooda @DishPatani 
As if corona wasn't enough, you people release… https://t.co/xnXzDbp7vD",2021-05-15 18:51:56,1393640307644719104,gauravthesamant,,,False,0,0,en,corona virus
,RT @BhaiUltra: Very Very dangerous conditions of people due to corona virus. Stress on students at very high level. So sir please cancel bo…,2021-05-15 18:51:50,1393640281564598274,Pushpen42895775,,,False,20,0,en,corona virus
,"Covid pandemic and dance of death in UP and Bihar

Dead bodies have washed up at Buxar in Bihar even as villagers i… https://t.co/LQohD4mFeS",2021-05-15 18:51:40,1393640238522634242,mohammedayub313,,,True,0,0,en,corona virus
,RT @amaanbali: RSS workers are not just distributing nitrogen cylinders to patients they are also working hard on Subaltern Hindutva resear…,2021-05-15 18:51:29,1393640195359191042,MBhushaan,,"Boston, MA",True,321,0,en,corona virus
,RT @Bumblebeejump: So many jhaadis...future of humanity is grim. With this one kind of virus popping up every second like corona...humanity…,2021-05-15 18:50:52,1393640037959438339,TheErrantBoy,,Lucknow,False,1,0,en,corona virus
,"RT @chowhanpriyanka: 🚨BREAKING🚨

Delhi govt has written to Dr. Reddy's Laboratories for the supply of 67 lakh doses of corona-virus vaccine…",2021-05-15 18:49:48,1393639772069916676,jvsk3,,Andhra Pradesh,True,32,0,en,corona virus
,"Under leadership of @ChouhanShivraj mp is been progressing much more against corona virus, his determination in wor… https://t.co/U1dfcJGKCi",2021-05-15 18:49:47,1393639764914425858,h_paritosh,,"Gujarat,vapi,India",True,0,0,en,corona virus
,RT @amaanbali: RSS workers are not just distributing nitrogen cylinders to patients they are also working hard on Subaltern Hindutva resear…,2021-05-15 18:49:43,1393639749475205126,Ashuuu94251627,,,False,321,0,en,corona virus
,@Susan88846378 @jilicious Unfortunately you've taken a very serious risk with a strong likelihood you could be dead… https://t.co/7V6JrYOSnH,2021-05-15 18:49:43,1393639747512414208,Monsoon_Mike,,"Peterborough, England",False,0,0,en,corona virus
,RT @NakuulMehta: Our first poem in the #PoemsForHumanity series is dedicated to the front line warriors in the battle with corona virus. Ou…,2021-05-15 18:49:36,1393639721704648705,GurleenKaurDeo1,,,False,558,0,en,corona virus
,"Break The Chain UV sanitization box helps to stop the spread of corona virus when it's used properly at home, shops… https://t.co/WBvJsgo5Sl",2021-05-15 18:49:32,1393639704394747904,SekarYW,,"Chennai, India",False,0,0,en,corona virus
,"RT @chowhanpriyanka: 🚨BREAKING🚨

Delhi govt has written to Dr. Reddy's Laboratories for the supply of 67 lakh doses of corona-virus vaccine…",2021-05-15 18:49:23,1393639666952278017,zafariq51471375,,"Delhi, India",False,32,0,en,corona virus
,@stufflistings @harshu_limbani *Warning* RADHE movie is even deadlier than CORONA virus. Stay safe and protect your… https://t.co/HHpOgrtOmC,2021-05-15 18:49:01,1393639571309613061,PJha8522,,Delhi/SiddharthNagar,False,0,0,en,corona virus
,"RT @ProgressiveAjit: @INCMaharashtra When Blaming Modi 
people including INC RahulGandhi forget main Culprit is CHINA where CORONA originat…",2021-05-15 18:48:57,1393639556541403139,MoNazLife,,,False,2,0,en,corona virus
,RT @anchalbhatiaa: My friend's father is in need of funds for his Coronavirus treatment being done in a private hospital in #Nagpur. It is…,2021-05-15 18:48:50,1393639527219032064,atular20,,Where the Mind is Without FEAR,True,47,0,en,corona virus
