Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,"RT @KasthuriShankar: Generosity has a name in Kodambakkam, Ajith. Today he has given 10 lakhs towards  Fefsi film technicians and crew who…",2021-05-15 15:33:53,1393590468340977671,rajniththi,,Now in singapore from thanjai,False,736,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:53,1393590468248838147,minyonnies,,윤  ☼𝆬   𓏸 ‘ ˒  𝗺.𝖾𝗈𝗐 ˖ ᕱ,False,5320,0,en,pandemic
,RT @ezralevant: A pandemic so serious that half of the staff at the CDC refuse to take the vaccine. https://t.co/poSEwp9cOY,2021-05-15 15:33:53,1393590467250565120,Thunder86483099,,,False,461,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:53,1393590466810109966,Annah0613,,Ireland,False,40833,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:53,1393590466533371908,taehyngnie,,she,False,40833,0,en,pandemic
,RT @iSAIDiamRah: My pandemic chunkiness is sexy tho. I don’t want it but it’s sexy. Lol,2021-05-15 15:33:53,1393590466189447172,IndiaAlmighty,,"Charlotte, NC",True,1,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:53,1393590466071998472,same_amelie,,,False,40833,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:53,1393590465627258883,vantesoftyy,,태태,True,5320,0,en,pandemic
,"RT @sxde_: My mum has just worked as nurse throughout the pandemic, a year after qualifying. Got COVID at work. She recovered (we thank God…",2021-05-15 15:33:53,1393590465434370050,yxngyvng,,$$$,True,4827,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:53,1393590465195384836,bts_lovsinger,,,False,40833,0,en,pandemic
,RT @ForStudents17: Each and every student support class 12 students for cancellation of their board exams.They are suffering more than a ye…,2021-05-15 15:33:53,1393590464888987661,JohnDurairaj140,,Chennai,True,1,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:53,1393590464524210184,jk_kukencio,,,False,5320,0,en,pandemic
,"RT @sheikhnasar1982: @BJP4Karnataka @INCKarnataka Looks like communalism runs in blood of BJP, treatment only for vegetarians means, who ar…",2021-05-15 15:33:52,1393590463391690756,PiseSpeak,,"Chiplun, India",False,1,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:52,1393590463379214343,cutieeyoon,,#?! bts love u : carrd byf,False,5320,0,en,pandemic
,"RT @sxde_: My mum has just worked as nurse throughout the pandemic, a year after qualifying. Got COVID at work. She recovered (we thank God…",2021-05-15 15:33:52,1393590462532001793,Nexusdog_UK,,Europe,False,4827,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:52,1393590462192046085,btsavvy,,Asia,False,40834,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:52,1393590461961494530,chickenjins_,,⋆ ☾ ❧ シ she/her • ph,True,5320,0,en,pandemic
,AP 10th &amp; Inter exams will be held soon as per new schedule. New schedule will be declared after holidays &amp; Reviewi… https://t.co/bS2AUXbas8,2021-05-15 15:33:52,1393590461810442240,movies_n_tech,,,False,0,0,en,pandemic
,"RT @APStamm: ""You know what I learned in pandemic? There is no fashion anymore; there are only the clothes I wear and want. If the pandemic…",2021-05-15 15:33:52,1393590461424603139,ronmparker29,,"Iowa, USA",True,18,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:51,1393590460073926662,VkookGotMe,,Ma City,True,40834,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:51,1393590459969073160,eufemiascoo,,,False,40834,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:51,1393590459344199686,jjt_tkk,,,True,40834,0,en,pandemic
,"Consumer confidence nears all-time high:
With upbeat medical news and an increase in business activity, California… https://t.co/fMCXitukr8",2021-05-15 15:33:51,1393590459230871554,marceloloyola5,,Irvine,False,0,0,en,pandemic
,"A lot of people now have fractured 
Memory because of the pandemic 
Prolly will get worst as time goes on 
You thin… https://t.co/TtTkRGHHo2",2021-05-15 15:33:51,1393590458740219911,dances,,The lay/philly/nyc/thetrap,True,0,0,en,pandemic
,RT @Nhleiks5: The real pandemic is Cyril Ramaphosa 🤣🤣🤣👇🏿 https://t.co/NAsTt0qZ3e,2021-05-15 15:33:51,1393590456672559106,Thami26222186,,,False,20,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:51,1393590456399933440,Luna21820,,"Córdoba, Argentina",False,5320,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:51,1393590456018079752,lettermultifan,,𝐡𝐨𝐩𝐞,False,5320,0,en,pandemic
,"RT @SethAbramson: 32/ So when I say, here and at PROOF, that media 1) not continuing to cover January 6 as the top issue after the pandemic…",2021-05-15 15:33:50,1393590454416023553,deepvard,,,False,20,0,en,pandemic
,"@davidaxelrod @EliseStefanik We all know how much Trump was a liar, narcissist and he has brainwashed the GOP. This… https://t.co/AuW1cmnhzR",2021-05-15 15:33:50,1393590452042014723,ecarriz624,,"Austin, TX",False,0,0,en,pandemic
,"RT @hopeggukkie: BTS 8TH ANNIVERSARY PROJECT!!

for the past 8 years, bts gave us their music. it’s time to give back. 

for bts’ 8th birth…",2021-05-15 15:33:50,1393590451844771842,J00NSONA,,she/her desi ♡ ,False,5320,0,en,pandemic
,"RT @RollingStone: In the second of Rolling Stone‘s breakout interviews with each of the seven members of BTS, Jimin contemplated his perfec…",2021-05-15 15:33:49,1393590451278688259,overjungk,,BTKZXT POP! 💭,True,40834,0,en,pandemic
,"RT @DanPriceSeattle: We did free universal health care with covid shots and
*Thousands of lives were saved
*Americans saved billions of dol…",2021-05-15 15:33:49,1393590451236712449,mbrajk,,,False,2451,0,en,pandemic
,"RT @AnaCabrera: “In the beginning of this pandemic, my members were required to be the mask police and they were actually verbally abused a…",2021-05-15 15:33:49,1393590451098161153,6bq9music,,Wandering around with 🦁,False,27,0,en,pandemic
,RT @msm_monitor: BBC Scotland continues with its lazy practice of interviewing an angry restaurant owner following the Scottish Govt's pand…,2021-05-15 15:33:49,1393590450213343233,wolfie2440,,,False,113,0,en,pandemic
,"RT @1_JFRESH: FRE$H PACK "" 2 (Pandemic) Out Now!
#Rap #Artist #Hiphop #Rapper #NewMusic #HotNewMusic 
🔥 🔥https://t.co/7O0bTCJK4K 🔥🔥 https:/…",2021-05-15 15:33:49,1393590449743433730,ManojGa84853777,,,False,39,0,en,pandemic
,RT @ezralevant: A pandemic so serious that half of the staff at the CDC refuse to take the vaccine. https://t.co/poSEwp9cOY,2021-05-15 15:33:49,1393590449730854918,timmy_perk,,"Utah, USA",False,461,0,en,pandemic
