text,date,user,location,keyword
"RT @LiveLawIndia: The infection of novel corona virus, which had not reached the village population in its first wave of novel corona virus…",2021-05-11 16:51:28,KaranDe76737049,,corona virus
@TelanganaCMO Where is social distancing at wine shops after the lockdown announcement? This is indirect exposure t… https://t.co/GJPNBVSTEG,2021-05-11 16:51:21,ashish3250,,corona virus
"RT @devotee2722: If anyone can do this (get audience back into theaters) it salman khan
Sir he is hope after the corona virus
Prabhu Deva…",2021-05-11 16:51:10,cpreigns_35,My heart is in India🇮🇳❤,corona virus
@AndrewYang U can f off Corona Virus,2021-05-11 16:51:08,JPaindoo,,corona virus
RT @CemBakir11: Why do Rappers use corona Virus lines?,2021-05-11 16:51:06,Krabbypotato1,,corona virus
"RT @YRDeshmukh: So according to the much celebrated global media outlets, the Corona variants are Brazil variant, South Africa variant, UK…",2021-05-11 16:51:03,iamkumarmohan,jalandhar,corona virus
At that time also that Italian lady of MOU gang with LEFT gangs had attacked on our Country for Nuclear Test as it'… https://t.co/BWf0ywDmU4,2021-05-11 16:51:01,kailash_ch_das,,corona virus
"RT @GlamFitWell: Please help this family survive Covid in Hyderabad, India.
The entire family is tested positive, and the condition of the…",2021-05-11 16:51:01,manu_vashishth,India,corona virus
"RT @varusarath5: My name is Mark A and I am raising funds for my medical expenses.I am a 72 yrs old , former farmer. At present, I have no…",2021-05-11 16:50:59,satishtarak123,India,corona virus
The World Health Organization warns against the highly contagious and deadly B1617 variant of the corona virus foun… https://t.co/Rlx6dFnq1A,2021-05-11 16:50:57,BaaghiTV,Pakistan,corona virus
"RT @KanchanGupta: Wrong. @ThePrintIndia has it totally wrong.
@WHO took care in choosing its words. It did NOT say “Indian Covid strain”.
I…",2021-05-11 16:50:50,d_kush5,,corona virus
@ExSecular A baalywood producer will now make a 🎥 on  villans trying to take the FORMULA in 2 vials and the hero is… https://t.co/dAzmIlcxWu,2021-05-11 16:50:16,pAdSnotEqJ,,corona virus
Stupid ass idiots there is no such thing as Corona virus variance it's all in your sick mind what is wrong with the… https://t.co/CrUSDIqOCW,2021-05-11 16:49:45,Jallan07613553,,corona virus
"RT @pkwadhwani777: @GretaThunberg On the current situation, I would just like to say that Israel is doing very wrong. A few days ago, Israe…",2021-05-11 16:49:38,cmarslett,,corona virus
"RT @SalmanKhanWFC: This 2nd wave epidemic has troubled everyone. In such a situation, @BeingSalmanKhan decided to release hybrid. So that p…",2021-05-11 16:49:37,Being_Chulbul27,"Kolkata, India",corona virus
"#ಕೊರೊನಾ #ಕೋವಿಡ್19 #ವೈರಸ್ #ಹಾವಳಿ 
#corona #covid19 #virus #marathon 
 
Read my thoughts on YourQuote app at… https://t.co/pzsJIfM3Yu",2021-05-11 16:49:31,AshritVenkatesh,"Bengaluru South, India",corona virus
Why isn’t anyone posting about or concerned with the fact that Tony fauci might be involved in the wuhan corona vir… https://t.co/b3lIrdQdSG,2021-05-11 16:49:29,dan47940454,,corona virus
"@_PreetiPandey It's not Corona Virus, It's chinese virus preplanned by China ...Respected Trump Sir always says This Preeti Didi ji🙏",2021-05-11 16:49:27,Aaradhyahealth1,"New Delhi, India",corona virus
Covid is Real.maskup ongoing fellow Ghanaians💯protect yourself no matter how y are. ur family needs u.weda u eat al… https://t.co/DaTJU5SGdi,2021-05-11 16:49:27,EKhristle,,corona virus
RT @Marco_Acortes: Corona virus....its coming,2021-05-11 16:49:13,DasIsReallyGood,Currently fighting tankies,corona virus
"RT @ShobhnaYadava: #Lockdown in #Telangana for 10 days from tomorrow, 12th May due to Corona virus case surge. Shops and all activities wil…",2021-05-11 16:48:48,Jaiprak66599325,,corona virus
RT @profmakehappy: The world after the corona virus.... https://t.co/rBnv50zT8y,2021-05-11 16:48:41,CookieKattana18,Venus💫,corona virus
@shopppingbagss You must have had the Corona Virus,2021-05-11 16:48:10,countrycityline,,corona virus
"@panhandleprims @TheRightMelissa uh huh, The last 6 presidents before Trump were all new world presidents with a ag… https://t.co/MGcinbYxgZ",2021-05-11 16:48:04,KyoAlexiel,"Tucson,Arizona",corona virus
"My name is Mark A and I am raising funds for my medical expenses.I am a 72 yrs old , former farmer. At present, I h… https://t.co/Do9GaEd5os",2021-05-11 16:47:49,varusarath5,"Chennai, India",corona virus
@rohitmishra3001 @alokebajpai Hain?!? It is Corona Virus Disease 2019,2021-05-11 16:47:40,arjun_mehra,"Gurgaon, India",corona virus
RT @LarrygHaynes2: @RandPaul The gain of function research on Corona viruses originated at Chapel Hill and was transferred to Wuhan under t…,2021-05-11 16:46:51,RuthHalleran,"HI NC, Pitt PA, Gwd SC, CA, NH",corona virus
"China does not deserve to be on this planet . Corona virus was a biological weapon , and it was deliberately leaked… https://t.co/e0rQ92XWLt",2021-05-11 16:46:44,sibisrivilas2,"DLF City Phase 1, Gurgaon",corona virus
"RT @achyuta_samanta: Saw this picture somewhere and wanted to share - a beautiful mural has been painted in Melbourne, Australia in tribute…",2021-05-11 16:46:37,mallickbc73,,corona virus
RT @LifeLiberty3: Who wrote the loophole n the law passed by Congress that would allow Tony Fauci or another person to fund gain of functio…,2021-05-11 16:46:19,LifeLiberty3,,corona virus
"RT @mikhail86439176: Doug Ford, the premiere of Ontario 🇨🇦 is telling what happens to politicians that go against ‘the corona virus narrati…",2021-05-11 16:46:11,The_NinjaKnight,Ireland,corona virus
RT @Karey_mwari: Let's meet tomorrow at 8pm on Twitter Spaces as we speak Corona Virus. We get to hear from front line health providers on…,2021-05-11 16:45:59,Shirley_Sein,"Nairobi, Kenya",corona virus
"RT @harish96439028: @SonuSood @SoodFoundation 

Patient Name:R.Gnanasekaran
Patient Age:61
Hospital Name:Pollachi GH
Hospital Location:Poll…",2021-05-11 16:45:57,pollachibot,பொள்ளாச்சி,corona virus
"@globaltimesnews @PRCAmbNepal Be alert 🚨 #nepal 
Chinese will send another strains of corona virus 🦠 through aids https://t.co/D6TnHO68aF",2021-05-11 16:45:49,RamkrushnaG,Bhuj,corona virus
RT @stwalley_ashlie: So Fauci is the head of the lab in Wuhan that is 10 miles from where the outbreaks began and this lab studied corona v…,2021-05-11 16:45:33,SOFIAHBELL,USA,corona virus
