text,date,user,location,keyword
"RT @Lene_peterson: How ironic, almost tragic it was, if I, as a Covid-negative person, travel to 🇹🇷 or 🇲🇽, stay there for 14 days (not bc I…",2021-05-10 17:13:39,SpainLint,Spain,corona virus
"RT @VarshaEGaikwad: Given the prevailing Corona virus pandemic, Maharashtra State Council of Examination's Pre-Upper Primary Scholarship (C…",2021-05-10 17:13:25,Navneet22343741,,corona virus
RT @profmakehappy: The world after the corona virus.... https://t.co/rBnv50zT8y,2021-05-10 17:13:16,pw11pg,,corona virus
"RT @GeneralBakshi: Chinas institute of Virology in Wuhan is led  by 2 PLA officers. Maj Gen Shi Zheng li and Maj Gen Chen Wei, Zheng li was…",2021-05-10 17:12:58,AKSingh649,"Ghaziabad, India",corona virus
"RT @karamprakash6: Patiala: In a tragic event, a corona positive mother succumbed to the virus after loosing her preterm newborn twins at G…",2021-05-10 17:12:57,CAKaramveer1,"Chandigarh, India",corona virus
"RT @GauravGuptaJK: My take on Double Mutation virus of Corona B1617.

#COVID19 #coronavirus

Full Conversation: https://t.co/m8HASqm4zh htt…",2021-05-10 17:12:50,badabanala,,corona virus
"RT @kdrarvind: Pulse Oximeter is a device used to check oxygen level at home. If you're COVID-19 positive, then you must use a pulse oximet…",2021-05-10 17:12:45,DheerajGautam18,Gurgaon,corona virus
"@rssurjewala What is More Dangerous ???

#Corona_Virus

Or

#Congressi_Pappu_Ka_Complete_Brain_Lockdown… https://t.co/oED2W2Nwf9",2021-05-10 17:12:40,wiz_harrypotter,,corona virus
"RT @7ru7h_1: #FuckChina 

Retweet with above hashtag and make this chain bigger than Chinese Virus aka Corona Virus.",2021-05-10 17:12:30,Karthik73023829,"Hyderabad, India",corona virus
"@AICCMedia @rssurjewala @kcvenugopalmp What is More Dangerous ???

#Corona_Virus

Or… https://t.co/2crSIpVOR3",2021-05-10 17:12:29,wiz_harrypotter,,corona virus
"RT @GeneralBakshi: What happened in Wuhan? was the corona virus a Chinese biological wafare weapon?
 Please see me on republic TV at 4pm( e…",2021-05-10 17:12:23,gpray1977,"Sector-15, Rourkela, Odisha",corona virus
"@priyankagandhi @rssurjewala What is More Dangerous ???

#Corona_Virus

Or… https://t.co/LhUOZm2SX3",2021-05-10 17:12:22,wiz_harrypotter,,corona virus
"@RahulGandhi @rssurjewala What is More Dangerous ???

#Corona_Virus

Or… https://t.co/2Vd2qAvtcO",2021-05-10 17:12:18,wiz_harrypotter,,corona virus
"Corona virus was developed in a lab in Wuhan. The research was funded by the US, including Fauci. This is the lab l… https://t.co/U2OOa0rye5",2021-05-10 17:12:12,do_jeeney,"Boston, US",corona virus
"RT @CMOGuj: CM Shri @vijayrupanibjp convened a high-level meeting of COVID-19 Task Force including doctors, GBRC scientists, ministers and…",2021-05-10 17:12:09,BJP4BhavngrDist,"Bhavnagar, India",corona virus
"@AICCMedia @rssurjewala @kcvenugopalmp What is More Dangerous ???

#Corona_Virus

Or… https://t.co/KpWWOOQhpg",2021-05-10 17:12:06,wiz_harrypotter,,corona virus
"RT @MeghnaRoyChowd8: These viruses are dangerous than corona virus 
And this sanitizer is the best among all including Lifeboy, Dettol etc.…",2021-05-10 17:11:45,malvikakapoor91,"40,000 ft",corona virus
"@baranwal1956 @NavneetSagarsIT @AmanChopra_ @VVikash24 We have cautioned many times, Five star andolan jeevis are d… https://t.co/sGgemgUFXt",2021-05-10 17:11:44,rajanp78,"Kottayam, India",corona virus
"@RahulGandhi What is More Dangerous ???

#Corona_Virus

Or

#Congressi_Pappu_Ka_Complete_Brain_Lockdown… https://t.co/6Qn18RLILH",2021-05-10 17:11:39,wiz_harrypotter,,corona virus
"@RahulGandhi What is More Dangerous ???

#Corona_Virus

Or

#Congressi_Pappu_Ka_Complete_Brain_Lockdown… https://t.co/7WU8AZ12ab",2021-05-10 17:11:25,wiz_harrypotter,,corona virus
RT @Marco_Acortes: Corona virus....its coming,2021-05-10 17:11:22,AsjathShakir,"Villianur West, Pondicherry",corona virus
RT @DennisJesudasan: #TamilNadu government issued a G.O. framing a treatment protocol for patients with Corona virus infection. Details her…,2021-05-10 17:10:59,josefredric_e,"Chennai, India",corona virus
"RT @GlamFitWell: Please help this family survive Covid in Hyderabad, India.
The entire family is tested positive, and the condition of the…",2021-05-10 17:10:32,S9898G,"chhindwara,madhya pradesh",corona virus
"RT @varunpuri1984: Yogendra Yadav was aware of the heinous crime yet remained silent to protect his propaganda. 

He created unrest and pro…",2021-05-10 17:10:19,itzVarsha2,,corona virus
"I was feeling tried and weak with slight burning sensation in my eyes for past few days, go to hospital and corona… https://t.co/SAN15ypncc",2021-05-10 17:10:13,SumanBairagya9,,corona virus
"RT @KwikMudra: As Corona virus affected patients rising everyday. 
Buy Tata AIG Corona Kavach Health Insurance Policy With KwikMudra and se…",2021-05-10 17:09:47,imshashankmis,Delhi,corona virus
RT @shrinkhalak_: Nepali Students in the US have started a Gofundme fundraiser to help organizations on ground that are working to tackle t…,2021-05-10 17:09:45,Kc5Sarita,bhaktapur ,corona virus
