text,date,user,location,keyword
"RT @FaheemYounus: To “the vaccine have side effects” crowd 

If you scrutinized the side effects of drugs we ROUTINELY use (and you GLADLY…",2021-05-09 18:20:37,thischeena,,vaccine
"@_AfricanSoil From my own observation
I don't see that coming especially with vaccine business going well,remember… https://t.co/CFwvKt9zok",2021-05-09 18:20:37,mokwenalebogan3,"Pretoria, South Africa",vaccine
RT @nowthisnews: ‘Grow the f*ck up and get the vaccine’ — These health care workers shared their honest thoughts about anti-vaxxers in this…,2021-05-09 18:20:37,rewir8rh83,"ÜT: 37.678799,-120.987029",vaccine
RT @vivekagnihotri: Whoever I speak to abroad speaks very highly of India’s humanitarian efforts with Vaccine. India has always been a grea…,2021-05-09 18:20:37,monambuj,,vaccine
"RT @MinhazMerchant: Kejriwal must rank as the shiftiest politician in India. Just when an SC-ordered O2 audit threatens to expose his govt,…",2021-05-09 18:20:36,Md_Ayesha_,"Dubai, United Arab Emirates",vaccine
"RT @emilyyyhu: Me two hours ago: this vaccine ain’t sh*t
Me now: https://t.co/DRjlcqVwbM",2021-05-09 18:20:35,mihu0307,By Liliana's side | She/They |,vaccine
@Melorra99 @VaxHuntersCan It's moving really quick. I was not priority and there only 30 min before vaccine. Go if you can,2021-05-09 18:20:35,kpnov23,,vaccine
RT @BBCWorld: Dracula's castle in Romania offers tourists Covid vaccine https://t.co/oAUlnHZZGN,2021-05-09 18:20:35,warlockthunder1,"Oakville, Ontario",vaccine
"@nowthisnews While all the Twitheads out there are preaching about getting an FDA unapproved “vaccine”, look at the… https://t.co/iyK5s5lAwK",2021-05-09 18:20:34,kadb99,,vaccine
"RT @calamur: have you seen the photo on our vaccine certificates? 
or the logos on the ventilators? 
or food packets with party branding

l…",2021-05-09 18:20:34,MANJITSINGHARYA,haryana (india),vaccine
@DAdRobs @AlanMCole I tend to suspect that’s a talking point from the never gonna get it anyway crowd. Have yet to… https://t.co/g7oXP2kJu7,2021-05-09 18:20:34,LeeCEldridge,Lawrence KS,vaccine
RT @UNDESA: There are 4 types of #COVID19 vaccine💉 in use around the world. They all work slightly differently to shield us against the vir…,2021-05-09 18:20:34,NiliMajumder,,vaccine
"RT @Mirchi9: In the middle of a Pandemic and Vaccine Shortage, 

If we cast aspirations on Vaccine Company Promoters, 

God Save Andhra Pra…",2021-05-09 18:20:33,Its_Raghu_,,vaccine
"RT @SenatorWarnock: Happy Mother’s Day! I am extremely grateful to be able to safely spend time again with my Mother, thanks to the vaccine…",2021-05-09 18:20:33,JustWhatNowWhy,Waiting For My Soros Check ,vaccine
"Florida reports more than 10,000 COVID-19 variant cases https://t.co/3Vt0HAbJRl—the cruise line industry should sta… https://t.co/Jnarzhjedj",2021-05-09 18:20:33,blckneck62,brooklyn ny,vaccine
"RT @pranaykotas: Anticipating the Unintended #126 is up. In this COVID-19 response edition, we discuss:
- vaccine diplomacy
- democracy &amp; t…",2021-05-09 18:20:33,mayurdhar,"Hyderabad, India",vaccine
