text,date,user,location,keyword
"RT @brightwinlouvre: corona virus works hard, but both you work harder to makes us happy. 🥺 https://t.co/bXkYKsmK70",2021-05-15 18:55:03,bbw2_,ᙏ̤̫,corona virus
RT @amaanbali: RSS workers are not just distributing nitrogen cylinders to patients they are also working hard on Subaltern Hindutva resear…,2021-05-15 18:54:53,PalvaiShanthan,India,corona virus
"RT @tariqahmadwzr: Religious extremism is more contagious than corona virus.
It should be abolished .
#StateMustStopExtremists",2021-05-15 18:54:36,ikramk998,"Peshawar, Pakistan",corona virus
RT @octivist: @coolfunnytshirt Rare pic of Secular virus with corona virus.... https://t.co/jJXJJoFruY,2021-05-15 18:54:05,Kesari_Nibba,Hindu Rashtra,corona virus
"RT @ibeingvshetty: ""Corona-virus has a right to live just like humans"" - BJP Leader.

Almost all BJP leaders are illiterate morons. Followi…",2021-05-15 18:53:59,Krishna10292273,,corona virus
"RT @txtouryouth: Please use the following link to donate to the fundraiser by Nepali students around the world
: https://t.co/aT0mZm7vLD

P…",2021-05-15 18:53:43,andhowcouldyou,they them,corona virus
RT @NakuulMehta: Our first poem in the #PoemsForHumanity series is dedicated to the front line warriors in the battle with corona virus. Ou…,2021-05-15 18:53:37,iiamrohit,,corona virus
I already had the corona virus and that shit weak https://t.co/iOW4lROeBt,2021-05-15 18:53:34,zachbeaird14,Out by the mf grave yard ,corona virus
"@SeanStacey18 @Body_Naturelle @LadygodivaLDN @SeanStacey18 who told you that... The type of virus is corona, there… https://t.co/TKWFyHs7dN",2021-05-15 18:53:25,bareitnz,"Bay of Plenty Region, NZ",corona virus
"RT @VincentRK: Pan Corona Virus vaccine thread

What you missed from the WH briefing yesterday: Dr. Fauci's comments. @ASlavitt 

1/ We are…",2021-05-15 18:53:07,jenwmac,"Seattle, WA",corona virus
RT @MDJawedHassanA1: See the enriched strains of Corona virus in india. https://t.co/4ydNOoIR7s,2021-05-15 18:52:56,KSuresh07443195,,corona virus
RT @LawrenceSellin: There is massive infiltration of U.S. virus research programs by the Chinese Communist Party and the People's Liberatio…,2021-05-15 18:52:47,yH4OSKrkVWFBbed,,corona virus
"@timesofindia @republic @BeingSalmanKhan @RandeepHooda @DishPatani 
As if corona wasn't enough, you people release… https://t.co/xnXzDbp7vD",2021-05-15 18:51:56,gauravthesamant,,corona virus
RT @BhaiUltra: Very Very dangerous conditions of people due to corona virus. Stress on students at very high level. So sir please cancel bo…,2021-05-15 18:51:50,Pushpen42895775,,corona virus
"Covid pandemic and dance of death in UP and Bihar

Dead bodies have washed up at Buxar in Bihar even as villagers i… https://t.co/LQohD4mFeS",2021-05-15 18:51:40,mohammedayub313,,corona virus
RT @Bumblebeejump: So many jhaadis...future of humanity is grim. With this one kind of virus popping up every second like corona...humanity…,2021-05-15 18:50:52,TheErrantBoy,Lucknow,corona virus
"RT @chowhanpriyanka: 🚨BREAKING🚨

Delhi govt has written to Dr. Reddy's Laboratories for the supply of 67 lakh doses of corona-virus vaccine…",2021-05-15 18:49:48,jvsk3,Andhra Pradesh,corona virus
"Under leadership of @ChouhanShivraj mp is been progressing much more against corona virus, his determination in wor… https://t.co/U1dfcJGKCi",2021-05-15 18:49:47,h_paritosh,"Gujarat,vapi,India",corona virus
