Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,RT @msm_monitor: The BBC's response to the SNP landslide was evident this morning. Both Andrew Marr and Martin Geissler went straight on th…,2021-05-09 15:55:06,1391421478659371012,moocowe,,"Ellon, Scotland",True,82,0,en,pandemic
,"RT @GermHunterMD: “It’s a nightmare inside a pandemic”

#Mucormycosis complicating COVID19 in India

1 ophthalmologist in Mumbai saw 40 cas…",2021-05-09 15:55:06,1391421477082238977,born_unicorn,,,True,30,0,en,pandemic
,"RT @BTCTN: Elon Musk sees #dogecoin as his ""private stimulus for the people"" that ""represents legit hope for people kicked by pandemic."" #d…",2021-05-09 15:55:06,1391421476818063364,DrigoDrugz,,"Miami, FL",True,1019,0,en,pandemic
,@CPBlr Why your team is damaging the public vehicles? Are you ppl going to pay for that? It's not some protest or r… https://t.co/XsVIx8KkXN,2021-05-09 15:55:05,1391421474565627907,nnnnilrad,,Bangalore,False,0,0,en,pandemic
,RT @lloyd_dennis8: @nazirafzal @ChrisMasonBBC Do the good people of Hartlepool realise that a small pest control company on the south coast…,2021-05-09 15:55:05,1391421474473381892,spursbull,,,False,35,0,en,pandemic
,"RT @sreeramjvc: What is stopping Telangana GOVERMENT to release district wise data? 
When rest of India is doing are you an exception? I am…",2021-05-09 15:55:05,1391421474133594113,krishnryn,,"Chennai, India",False,3,0,en,pandemic
,"RT @MAJDRBPSINGH2: @htTweets Register all Foreign Medical Graduates with the NMC and deploy them, about One Lac into the fight of COVID-19…",2021-05-09 15:55:05,1391421473626021888,Prashanthmani21,,,False,11,0,en,pandemic
,"During the pandemic, women with younger children have suffered larger job losses and/or a drop in hours than other… https://t.co/ws7NJOXNuk",2021-05-09 15:55:05,1391421472275587077,IMFNews,,"Washington, DC",False,0,0,en,pandemic
,RT @umichmedicine: The pandemic has affected us all differently. Our new poll looks at what impact it had on the #mentalhealth of people ov…,2021-05-09 15:55:04,1391421471461974019,urcmich,,"Lansing, Michigan",False,1,0,en,pandemic
,RT @Waambui: And in the midst of a pandemic! Gok is behaving like those people who rob passengers at the scene of an accident instead of he…,2021-05-09 15:55:04,1391421470409166852,PM202011,,,False,4,0,en,pandemic
,"RT @soniafaleiro: India stopped accepting foreign aid in 2004. Today, thanks to Modi's mishandling of the economy, the pandemic &amp; virtually…",2021-05-09 15:55:04,1391421469993971722,swedish_jade,,,False,1367,0,en,pandemic
,RT @nikita1712: It is impossible to overstate the cruelty of a state in which a woman imprisoned for protesting unjust laws has lost her fa…,2021-05-09 15:55:04,1391421468530024448,jayantea_,,,False,242,0,en,pandemic
,"RT @Anurag_Office: The amount released is the first instalment of the ‘Untied Grants’ for the year 2021-22. It may be utilised by the RLBs,…",2021-05-09 15:55:04,1391421468504846338,SwapanDe16,,"101, Ashokenagar Assembly,W.B.",True,26,0,en,pandemic
,"RT @DrEricDing: The percentage of Americans struggling with hunger dropped 40%—now at its lowest level since #COVID19 pandemic began, sugge…",2021-05-09 15:55:03,1391421466927935490,PinkyTuscadero8,,"Fort Worth, TX",False,307,0,en,pandemic
,"Chinese document discussing weaponizing coronaviruses provides 'chilling' information, details from a document prod… https://t.co/giE9eYAyrU",2021-05-09 15:55:03,1391421465107439616,freedomsforever,,BC ,False,0,0,en,pandemic
,In view of corona pandemic looming Large the people of Assam will feel safe if Himanta Biswa Sarma as chief Ministe… https://t.co/dOu4qoAEQR,2021-05-09 15:55:02,1391421463832403973,upadhyay_swarup,,"तेज़पुर, भारत",True,0,0,en,pandemic
,RT @MeghUpdates: Supreme Court will tomorrow hear a petition to remove all Protestors from borders of Delhi being a Super Spreader &amp; direct…,2021-05-09 15:55:02,1391421463224197121,Bariyamahesh12,,"Gujarat, India",False,294,0,en,pandemic
,RT @MeghUpdates: Supreme Court will tomorrow hear a petition to remove all Protestors from borders of Delhi being a Super Spreader &amp; direct…,2021-05-09 15:55:02,1391421462993530880,ankitrajbjp,,"Punsia Bazar, Banka,Bihar",False,294,0,en,pandemic
,RT @REPUTATIONLT: interact with this if your school/ work has ignored your mental health during the pandemic,2021-05-09 15:55:02,1391421462448427015,niallsflickrhbw,,paris all through rome ,False,9,0,en,pandemic
,"RT @michaelmina_lab: When this pandemic started, if we could’ve magically known *in real-time* if / when we were each infected, we could’ve…",2021-05-09 15:55:02,1391421462439993351,DrMarkChill,,"Pennsylvania, USA",False,273,0,en,pandemic
,"So, @Twitter, you’ll clutch your pearls at fuck, but let some twatwaffle Magat tweet that the Covid vaccine is a me… https://t.co/E48SiygZsQ",2021-05-09 15:55:02,1391421461198524418,lorindahayes,,,True,0,0,en,pandemic
