Tweet Coordinates,text,date,id,user,Place Info,location,Geo Enabled,retweet,likes,lang,keyword
,@TOIHyderabad @TelanganaCMO @TOITelangana @timesofindia @TOICitiesNews seems to be a Lockdown in Telangana..,2021-05-10 16:53:48,1391798638158901254,moinsyeds,,"Hyderabad, India",False,0,0,en,lockdown
,RT @JalapathyG: #Telangana to impose lockdown? The state cabinet meets tomorrow at 2PM to discuss about it.,2021-05-10 16:53:47,1391798635298320387,UrstrulyJosh1,,"Vishakhapatnam, India",True,16,0,en,lockdown
,"RT @Unathi_Kwaza: Even with government loosening lockdown regulations, we haven't seen increases in Covid infections.

That should tell u w…",2021-05-10 16:53:47,1391798634455437316,Chanaaz786,,Kimberley South Africa ,True,27,0,en,lockdown
,RT @LifeNewsHQ: A SWAT team arrested a Christian pastor heading home from church. They charged Pastor Artur Pawlowski with  “inciting” peop…,2021-05-10 16:53:46,1391798629162176516,ArchangelAmael,,,False,60,0,en,lockdown
,"Postcards from Lockdown with @LittleMix

https://t.co/iPXSAaFffK",2021-05-10 16:53:45,1391798625584312324,_lilmixerz,,,False,0,0,en,lockdown
,RT @nypost: England to OK hugs as latest COVID-19 lockdown eases https://t.co/YZAoohYFhJ https://t.co/L4bQ4RBsak,2021-05-10 16:53:45,1391798625286586373,dmrebelhan,,,False,46,0,en,lockdown
,Have y’all also only worn pyjamas throughout lockdown or are you every parents dream child?,2021-05-10 16:53:45,1391798624946851852,wannabepanda7,,,False,0,0,en,lockdown
,Coronavirus: PM urges people to live responsibly with Covid as England's lockdown eases #NewsUpdate #News… https://t.co/e0Y7TbSlpe,2021-05-10 16:53:44,1391798621985722373,BFPnews,,Worldwide,False,0,0,en,lockdown
,"Boris confirms further lockdown easing in England from 17 May! 

✅ Pubs and restaurants can open indoors

✅ Rule of… https://t.co/SKit9Hzvt1",2021-05-10 16:53:44,1391798620396130308,PrestonAtNight,,"Preston, England",True,0,0,en,lockdown
,"RT @KP24: HUGE UK NEWS! 
Most of the lockdown ends next Mon! 
I love that masks GO from kids having to wear them at school...! 💫",2021-05-10 16:53:44,1391798620039438337,karthic18722690,,,True,40,0,en,lockdown
,@IndiaToday Complete lockdown my foot. The liquor stores are open.,2021-05-10 16:53:43,1391798619259379714,juderego,,Mangalore,True,0,0,en,lockdown
,RT @srinivasiyc: #SOSIYC team with homeless &amp; needy amid Delhi's lockdown. https://t.co/EW5uqM82lF,2021-05-10 16:53:43,1391798619091599360,Mithlesh_yadav2,,"Chhattisgarh, India",False,352,0,en,lockdown
,RT @DonovanGoliath: Some of the travel content we made in hard lockdown last year https://t.co/YpUJYStMRt,2021-05-10 16:53:43,1391798617829167108,PheshN,,The Realm,True,103,0,en,lockdown
